,pageNumber,pageSize,previousPage,nextPage,pages,total,data,id,name,iso3,iso2,longitude,latitude
50,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 558, 'name': 'Nicaragua', 'iso3': 'NIC', 'iso2': 'NI', 'longitude': -85.20722961425781, 'latitude': 12.865415573120115}",558,Nicaragua,NIC,NI,-85.20722961425781,12.865415573120115
51,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 562, 'name': 'Niger', 'iso3': 'NER', 'iso2': 'NE', 'longitude': 8.081665992736816, 'latitude': 17.6077880859375}",562,Niger,NER,NE,8.081665992736816,17.6077880859375
52,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 566, 'name': 'Nigeria', 'iso3': 'NGA', 'iso2': 'NG', 'longitude': 8.675276756286621, 'latitude': 9.081998825073242}",566,Nigeria,NGA,NG,8.675276756286621,9.081998825073242
53,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 570, 'name': 'Niue', 'iso3': 'NIU', 'iso2': 'NU', 'longitude': -169.8672332763672, 'latitude': -19.054445266723633}",570,Niue,NIU,NU,-169.8672332763672,-19.054445266723633
54,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 578, 'name': 'Norway', 'iso3': 'NOR', 'iso2': 'NO', 'longitude': 8.46894645690918, 'latitude': 60.472023010253906}",578,Norway,NOR,NO,8.46894645690918,60.472023010253906
55,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 580, 'name': 'Northern Mariana Islands', 'iso3': 'MNP', 'iso2': 'MP', 'longitude': 145.6739044189453, 'latitude': 15.097900390625}",580,Northern Mariana Islands,MNP,MP,145.6739044189453,15.097900390625
56,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 583, 'name': 'Micronesia (Fed. States of)', 'iso3': 'FSM', 'iso2': 'FM', 'longitude': 158.21507263183594, 'latitude': 6.887481212615967}",583,Micronesia (Fed. States of),FSM,FM,158.21507263183594,6.887481212615967
57,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 584, 'name': 'Marshall Islands', 'iso3': 'MHL', 'iso2': 'MH', 'longitude': 171.9893798828125, 'latitude': 6.068301677703857}",584,Marshall Islands,MHL,MH,171.9893798828125,6.068301677703857
58,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 585, 'name': 'Palau', 'iso3': 'PLW', 'iso2': 'PW', 'longitude': 134.58251953125, 'latitude': 7.51497983932495}",585,Palau,PLW,PW,134.58251953125,7.51497983932495
59,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 586, 'name': 'Pakistan', 'iso3': 'PAK', 'iso2': 'PK', 'longitude': 69.3451156616211, 'latitude': 30.375320434570312}",586,Pakistan,PAK,PK,69.3451156616211,30.375320434570312
