data_name,data_link,data_source,created_at,last_updated
"Food Insecurity in Conflict Affected Regions in Nigeria 2017, Second Round",https://nigerianstat.gov.ng/nada/index.php/catalog/56,"By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN), The World Bank - Federal Government of Nigeria (FGN)","Created on: Apr 11, 2018","Last modified: Apr 11, 2018"
"General Household Survey 2006, Third edition",https://nigerianstat.gov.ng/nada/index.php/catalog/22,By: National Bureau of Statistics (NBS) - FGN,"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"General Household Survey 2008, Fourth Round",https://nigerianstat.gov.ng/nada/index.php/catalog/19,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"General Household Survey 2009, Fifth Round",https://nigerianstat.gov.ng/nada/index.php/catalog/36,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Aug 29, 2012","Last modified: Dec 02, 2013"
"General Household Survey-2007, Fourth Round",https://nigerianstat.gov.ng/nada/index.php/catalog/23,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"General Household Survey-Panel 2010-2011 (Post-Planting), First Round (Wave1 )",https://nigerianstat.gov.ng/nada/index.php/catalog/42,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Oct 24, 2012","Last modified: Oct 24, 2012"
"General Household Survey-Panel 2010-2011 (PostHarvest), First Round (Wave one)",https://nigerianstat.gov.ng/nada/index.php/catalog/31,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Mar 21, 2012","Last modified: Dec 02, 2013"
"General Household Survey-Panel Wave 2 2012 - 2013, Second round",https://nigerianstat.gov.ng/nada/index.php/catalog/50,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Jan 23, 2014","Last modified: Jan 23, 2014"
"General Household Survey-Panel Wave 3 (Post Harvest) 2015-2016, Third round",https://nigerianstat.gov.ng/nada/index.php/catalog/52,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Dec 12, 2016","Last modified: Dec 12, 2016"
"General Household Survey-Panel Wave 3 (Post Planting) 2015-2016, Third round",https://nigerianstat.gov.ng/nada/index.php/catalog/51,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Dec 11, 2016","Last modified: Dec 11, 2016"
"Harmonised Nigeria Living Standards Survey 2009, First Round",https://nigerianstat.gov.ng/nada/index.php/catalog/38,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Aug 29, 2012","Last modified: Dec 02, 2013"
"HUMAN DEVELOPMENT INDICES GENERAL HOUSEHOLD SURVEY 2017, First round",https://nigerianstat.gov.ng/nada/index.php/catalog/72,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Jun 27, 2023","Last modified: Jun 28, 2023"
"Integrated Biological and Behavioural Surveillance Survey 2007, Second round",https://nigerianstat.gov.ng/nada/index.php/catalog/33,By: Federal Ministry of Health (FMOH) - Fedaral Government Of Nigeria(FGN),"Created on: Aug 29, 2012","Last modified: Dec 02, 2013"
"Integrated Supportive Supervision Survey 2011, Third round",https://nigerianstat.gov.ng/nada/index.php/catalog/34,By: Federal Ministry of Health (FMOH) - Fedaral Government Of Nigeria(FGN),"Created on: Aug 29, 2012","Last modified: Dec 02, 2013"
"Lagos Household Survey -2005-2006, First round",https://nigerianstat.gov.ng/nada/index.php/catalog/10,By: Central Office of Statistics (COS) - Lagos State Government,"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"Multiple Indicator Cluster Survey (MICS4)-2011 Nigeria, Fourth round",https://nigerianstat.gov.ng/nada/index.php/catalog/35,By: National Bureau of Statistics [NBS] - Federal Government of Nigeria (FGN),"Created on: Aug 29, 2012","Last modified: Jan 15, 2018"
"Multiple Indicator Cluster Survey (MICS5) 2016, Fifth round",https://nigerianstat.gov.ng/nada/index.php/catalog/57,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Nov 20, 2018","Last modified: Nov 20, 2018"
"Multiple Indicator Cluster Survey MICS3 (2007), Nigeria, Third round",https://nigerianstat.gov.ng/nada/index.php/catalog/25,By: National Bureau of Statistics [nbs] - Federal Government of Nigeria,"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"Multiple Indicator Cluster Survey/National Immunization Coverage Survey 2016-17, Fifth round (MICS) and NICS (third Round)",https://nigerianstat.gov.ng/nada/index.php/catalog/59,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria,"Created on: Feb 20, 2019","Last modified: Feb 20, 2019"
"National Agricultural Sample Cencuse Pilot (GHS) -2007, Second round",https://nigerianstat.gov.ng/nada/index.php/catalog/15,By: National Bureau of Statitics(NBS) - Federal Government of Nigeria(FGN),"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"National Agricultural Sample Census 2022, Agricultural Household Listing",https://nigerianstat.gov.ng/nada/index.php/catalog/79,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN),"Created on: Jun 24, 2024","Last modified: Jun 24, 2024"
"National Agricultural Sample Census Pilot (Private Farmer) Crop-2007, Second round",https://nigerianstat.gov.ng/nada/index.php/catalog/13,By: National Bureau of Statistics(NBS) - Federal Government of Nigeria(FGN),"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"National Agricultural Sample Census Pilot (Private Farmer) Fishery-2007, Fourth round",https://nigerianstat.gov.ng/nada/index.php/catalog/14,By: National Bureau of Statistics - Federal Government of Nigeria,"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"National Agricultural Sample Census Pilot (Private Farmer) Livestock And Poultry-2007, Second round",https://nigerianstat.gov.ng/nada/index.php/catalog/16,By: NAtional Bureau of Statistics(NBS) - Federal Government of Nigeria(FGN),"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"National Cooperative Baseline Survey-2007, First round",https://nigerianstat.gov.ng/nada/index.php/catalog/8,"By: National Bureau of Statistics - FGN, Federal Department of Cooperatives - FGN","Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"National Core Welfare Indicators Survey, 2006, Third edition",https://nigerianstat.gov.ng/nada/index.php/catalog/30,By: National Bureau of Statistics - Federal Government of Nigeria,"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
